@relation events
@attribute 'age' real
@attribute 'prof' {Teacher,Student,Doctor,Advocate,Physician,Dietitian,Technician,Accountant,Laborer,Pharmacist,other}
@attribute 'gender' {male,female}
@attribute 'city' {Mumbai,Delhi,Bengaluru,Hydrabad,Ahmedabad,Chennai,Kolkata,Surat,Pune,Lucknow,other-city,other-foreign-city}
@attribute 'country' {US,China,Japan,Germany,UK,France,India,Italy,Brazil,Canada,other}
@attribute 'category' {casual,formal,sports,english,spainish,italian,nokia,micromax,samsung,landscape,pop music,adventure,Tom & Jerry,Painting,Eric Thomas}
@data
22,Student,male,Pune,India,samsung
22,Student,male,Pune,India,samsung
22,Student,male,Pune,India,spainish jersey
22,Student,male,Pune,India,english jersey
22,Student,male,Pune,India,english jersey
22,Student,male,Pune,India,english jersey
21,Student,male,Pune,India,sports shoes
21,Student,male,Pune,India,sports shoes
21,Student,male,Pune,India,casual shoes
21,Student,male,Pune,India,spainish jersey
21,Student,male,Pune,India,nokia
21,Student,male,Pune,India,nokia
21,Student,male,Pune,India,nokia
45,other,female,other-city,India,samsung
45,other,female,other-city,India,nokia
45,other,female,other-city,India,nokia
45,other,female,other-city,India,samsung
45,other,female,other-city,India,samsung
22,Student,female,Bengaluru,India,spainish jersey
22,Student,female,Bengaluru,India,english jersey
22,Student,female,Bengaluru,India,casual shoes
22,Student,female,Bengaluru,India,casual shoes
22,Student,female,Bengaluru,India,casual shoes
22,Student,female,Bengaluru,India,sports shoes
80,Advocate,female,Delhi,China,samsung
80,Advocate,female,Delhi,China,micromax
80,Advocate,female,Delhi,China,micromax
80,Advocate,female,Delhi,China,english jersey
80,Advocate,female,Delhi,China,samsung
40,Physician,male,Mumbai,Japan,english jersey
40,Physician,male,Mumbai,Japan,italian jersey
40,Physician,male,Mumbai,Japan,english jersey
40,Physician,male,Mumbai,Japan,italian jersey
40,Physician,male,Mumbai,Japan,english jersey
40,Physician,male,Mumbai,Japan,sports shoes
30,Physician,male,Delhi,India,sports shoes
30,Physician,male,Delhi,India,casual shoes
30,Physician,male,Delhi,India,sports shoes
30,Physician,male,Delhi,India,casual shoes
30,Physician,male,Delhi,India,sports shoes
30,Physician,male,Delhi,India,italian jersey
30,Laborer,male,Hydrabad,India,casual shoes
30,Laborer,male,Hydrabad,India,sports shoes
30,Laborer,male,Hydrabad,India,italian jersey
30,Laborer,male,Hydrabad,India,italian jersey
25,Teacher,male,other-foreign-city,US,english jersey
35,Doctor,female,Chennai,India,micromax
35,Doctor,female,Chennai,India,micromax
35,Doctor,female,Chennai,India,micromax
35,Doctor,female,Chennai,India,samsung
35,Doctor,female,Chennai,India,nokia
50,Technician,male,other-foreign-city,Italy,samsung
50,Technician,male,other-foreign-city,Italy,nokia
50,Technician,male,other-foreign-city,Italy,micromax
50,Technician,male,other-foreign-city,Italy,nokia
50,Technician,male,other-foreign-city,Italy,micromax
28,Accountant,male,other-foreign-city,Canada,english jersey
28,Accountant,male,other-foreign-city,Canada,italian jersey
28,Accountant,male,other-foreign-city,Canada,spainish jersey
28,Accountant,male,other-foreign-city,Canada,english jersey
28,Accountant,male,other-foreign-city,Canada,italian jersey
28,Accountant,male,other-foreign-city,Canada,spainish jersey
55,Laborer,male,other-foreign-city,other,formal shoes
55,Laborer,male,other-foreign-city,other,sports shoes
40,Advocate,female,other-city,India,english jersey
40,Advocate,female,other-city,India,italian jersey
40,Advocate,female,other-city,India,samsung
40,Advocate,female,other-city,India,samsung
